Asset Names,Asset IP Address,Asset OS Name,Asset OS Version,Vulnerability Title,Vulnerability CVE IDs,Vulnerability CVSS Score,Service Port,Vulnerability Age,Vulnerability Published Date,Vulnerability Solution,Vulnerability Proof,Vulnerable Since,Service Product
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,NTP: Traffic Amplification in peers feature of ntpd,,5.0,123,5 Days,2014-08-25,"Disable NTP queries


 Apply a restrict option to all hosts that are not authorized to perform NTP queries. For example, to deny query requests from all clients, put the following in the NTP configuration file, typically /etc/ntp.conf, and restart the NTP service: 

 restrict default nomodify nopeer noquery notrap","* Running NTP service


One 8-byte NTP version 2 mode 7 implementation 3 code 1 request with 0-byte payload resulted in no packet amplification and a 216-byte bandwidth amplification:
 * 224-byte NTP version 2 mode 7 implementation 3 code 1 response with 216-byte payload


One 8-byte NTP version 2 mode 7 implementation 2 code 1 request with 0-byte payload resulted in no packet amplification and a 96-byte bandwidth amplification:
 * 104-byte NTP version 2 mode 7 implementation 2 code 1 response with 96-byte payload


One 8-byte NTP version 3 mode 7 implementation 3 code 1 request with 0-byte payload resulted in no packet amplification and a 216-byte bandwidth amplification:
 * 224-byte NTP version 3 mode 7 implementation 3 code 1 response with 216-byte payload


One 8-byte NTP version 3 mode 7 implementation 2 code 1 request with 0-byte payload resulted in no packet amplification and a 96-byte bandwidth amplification:
 * 104-byte NTP version 3 mode 7 implementation 2 code 1 response with 96-byte payload


One 8-byte NTP version 4 mode 7 implementation 3 code 1 request with 0-byte payload resulted in no packet amplification and a 216-byte bandwidth amplification:
 * 224-byte NTP version 4 mode 7 implementation 3 code 1 response with 216-byte payload


One 8-byte NTP version 4 mode 7 implementation 2 code 1 request with 0-byte payload resulted in no packet amplification and a 96-byte bandwidth amplification:
 * 104-byte NTP version 4 mode 7 implementation 2 code 1 response with 96-byte payload",2023-08-30,NTP 4.2.6p5@1.2349-o
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,SSH Server Supports Weak Key Exchange Algorithms,,4.3,22,5 Days,2017-07-13,"Disable weak Key Exchange Algorithms


Refer to  this guide (https://wiki.mozilla.org/Security/Guidelines/OpenSSH)  on what KEX algorithms to permit in your SSH configuration.","* Running SSH service

 * Insecure key exchange algorithms in use: diffie-hellman-group-exchange-sha1,diffie-hellman-group1-sha1",2023-08-30,OpenSSH 7.4
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,SSH Server Supports 3DES Cipher Suite,,0.0,22,5 Days,2009-02-01,"Disable SSH support for 3DES cipher suite


Remove all 3DES ciphers from the cipher list specified in sshd_config.","* Running SSH service

 * Insecure 3DES ciphers in use: 3des-cbc",2023-08-30,OpenSSH 7.4
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle October 16 2018 CPU (CVE-2018-13785),CVE-2018-13785,4.3,0,5 Days,2018-07-09,"* Upgrade IBM Java to version 6.0.16.75
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 6.1.8.75
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.0.10.35
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.35
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.5.25
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle October 17 2017 CPU (CVE-2017-10345),CVE-2017-10345,2.6,0,5 Days,2017-10-19,"* Upgrade IBM Java to version 6.0.16.55
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 6.1.8.55
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.0.10.15
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.15
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.5.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: IBM Security Update July 2019 (CVE-2019-11771),CVE-2019-11771,4.6,0,5 Days,2019-07-17,"* Upgrade IBM Java to version 7.0.10.50
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.50
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.5.40
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle October 17 2017 CPU (CVE-2017-10346),CVE-2017-10346,6.8,0,5 Days,2017-10-19,"* Upgrade IBM Java to version 6.0.16.55
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 6.1.8.55
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.0.10.15
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.15
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.5.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle April 18 2017 CPU (CVE-2017-3533),CVE-2017-3533,4.3,0,5 Days,2017-04-24,"* Upgrade IBM Java to version 6.0.16.45
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 6.1.8.45
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.0.10.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.4.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle April 16 2019 CPU (CVE-2019-2697),CVE-2019-2697,6.8,0,5 Days,2019-04-23,"* Upgrade IBM Java to version 7.0.10.45
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.45
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.5.35
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle April 18 2017 CPU (CVE-2017-3511),CVE-2017-3511,3.7,0,5 Days,2017-04-24,"* Upgrade IBM Java to version 7.0.10.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.4.5
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: Oracle July 14 2020 CPU (CVE-2020-14621),CVE-2020-14621,5.0,0,5 Days,2020-07-15,"* Upgrade IBM Java to version 7.0.10.70
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 7.1.4.70
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/ 


 * Upgrade IBM Java to version 8.0.6.15
      Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
"illnqw6509,illnqw6509.corp.amdocs.com",10.245.18.102,Red Hat Enterprise Linux,7.9,IBM Java: IBM Security Update March 2019 (CVE-2018-1890),CVE-2018-1890,4.6,0,5 Days,2019-03-11,"Upgrade IBM Java to version 8.0.5.30

Download and apply the upgrade from:  https://www.ibm.com/developerworks/java/jdk/",Vulnerable software installed: IBM JRE 8.0.4.1 (/usr/lib/jvm/java-1.8.0-ibm-1.8.0.4.1-1jpp.2.el7.x86_64/jre/lib/version.properties),2023-08-30,
